"","phosphorus","nitrogen","carbon","shannon","FD","phylod","leafN","decomp","biomass"
"1",19.3089,11.0923,6.0888,19.1041,46.3079,221.7438,142.291,21.2499,27.5637
"2",19.935,14.4899,6.0068,17.8825,44.2448,222.0344,144.9708,24.5649,24.0181
"3",22.91,13.9352,5.7576,20.0616,43.9399,220.7629,142.3052,20.8182,27.3199
"4",18.2158,14.9894,3.8501,17.8923,44.3347,220.3194,139.961,17.001,21.5388
"5",19.5187,13.3574,7.1896,19.8603,45.2242,221.5143,142.7813,17.0609,26.9041
"6",21.3309,14.0016,4.344,16.5223,41.3401,219.7676,141.403,16.497,22.1008
"7",22.7135,11.0362,5.8032,18.9878,41.5182,218.1752,140.6142,14.1082,20.5452
"8",22.5574,15.3757,4.6106,17.3264,49.0848,222.2031,141.1847,20.1653,25.4535
"9",13.2699,11.9158,4.2215,20.0267,48.1832,224.9925,143.7155,23.8556,26.3578
"10",21.6107,15.0635,3.6887,18.0678,43.8679,222.5541,140.404,13.934,24.3041
"11",25.2978,18.2902,5.2223,16.9527,42.1423,220.0181,143.1572,15.7922,24.9895
"12",27.3247,18.5555,5.287,19.7824,50.8494,224.2051,142.9297,19.6829,26.9084
"13",19.5101,14.4654,5.9573,20.7825,49.9731,224.1843,147.6434,26.3694,29.2658
"14",26.3426,17.7454,7.2386,18.2196,48.6924,221.287,144.8672,21.0652,26.8871
"15",19.8627,16.8756,6.2846,19.2538,46.8412,222.2181,142.0765,22.5839,28.7631
"16",20.5677,12.1529,6.36,18.3507,42.8669,217.1974,142.6174,15.0064,23.6288
"17",21.0475,17.6859,5.6453,19.463,47.4635,221.0914,143.0529,21.2355,27.2282
"18",24.1213,16.8641,7.9565,18.1543,43.7223,222.0007,144.3536,15.6179,26.0334
"19",22.8445,12.9699,4.8078,18.418,45.8947,225.2157,146.642,21.3816,25.0218
"20",17.421,11.551,1.8416,18.7481,47.7693,221.3028,143.1906,19.363,22.5693
"21",19.6835,13.3732,2.6221,16.4876,41.274,219.0165,140.1782,16.4296,21.311
"22",20.8372,13.4749,6.2525,17.7553,41.6077,221.829,136.8552,18.4193,23.0368
"23",16.6322,14.2277,2.8941,15.0805,42.3681,220.8463,142.7726,23.1141,25.4972
"24",21.3443,15.4749,5.389,19.6283,47.3003,222.9913,144.9779,21.8612,25.7457
"25",23.517,13.5126,7.7679,19.0516,47.24,222.0928,145.0694,26.0199,24.0029
"26",18.3002,13.8634,3.3896,17.2113,49.2588,224.3701,142.3577,17.4122,23.1869
"27",26.5986,15.1061,6.7947,23.0477,47.8534,225.1083,143.494,18.8363,22.9595
"28",23.006,15.5267,6.9349,19.4309,45.3667,221.3173,140.7028,19.5642,24.5359
"29",23.0958,13.2534,6.0137,19.5701,47.8298,222.4441,142.8524,20.8715,24.7257
"30",23.9156,14.8528,4.4248,20.1536,49.4206,223.6626,141.9188,17.8463,26.9827
"31",20.6223,16.1298,7.1589,18.7308,47.8168,221.3551,147.1524,20.5297,23.0916
"32",21.936,12.964,5.3992,18.8162,49.3271,223.661,147.4108,21.3355,26.3755
"33",20.4538,12.5627,6.3896,20.5023,44.5434,224.4536,139.025,18.8884,23.1595
"34",27.8547,17.8183,6.0772,15.6173,42.5742,217.0948,142.5999,20.1448,24.0393
"35",27.8744,18.0918,6.2954,17.4922,41.4721,216.8573,140.5801,15.9139,21.6215
"36",20.5173,15.3572,3.5597,15.5136,39.8971,216.7542,138.6975,16.4937,21.5869
"37",23.2993,14.7861,4.5987,19.3725,47.6281,220.9939,146.0763,20.461,25.2611
"38",23.588,18.6133,8.6899,16.2787,43.5463,221.4188,144.8103,16.7858,28.3964
"39",17.1184,8.4323,3.296,19.4258,47.3993,222.4876,143.1483,21.2566,28.3176
"40",21.2108,17.2885,6.5923,17.5012,44.3289,218.7248,144.3407,20.3589,23.5518
"41",22.5311,16.6778,5.3959,18.9358,47.4167,221.8386,141.4018,20.5785,22.3899
"42",22.0646,15.546,4.6633,18.0885,46.5569,217.4249,144.3618,23.2058,25.3155
"43",25.0866,18.4902,5.0878,16.8925,45.2149,221.8235,144.9977,18.5832,26.6818
